Layer,Count,Group,Metric
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.5,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,13.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.5,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.5,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.5,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.5,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.5,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,13.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,13.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.5,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.5,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.5,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,13.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.5,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,14.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.5,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,13.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.5,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.5,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,8.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,9.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,12.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,10.0,MCC Cre -,Count
Basal,11.0,MCC Cre -,Count
